TRINITY_DN170570_c0_g1_i1	KIF12_MOUSE	57.6	118	48	1	351	4	215	332	1.18e-30	117
TRINITY_DN170525_c0_g1_i1	ZNTA_ECOLI	57.1	105	44	1	317	3	596	699	3.54e-27	107
TRINITY_DN170546_c0_g1_i1	TRI59_HUMAN	37.3	75	36	2	2	202	17	88	2.87e-08	53.5
TRINITY_DN170532_c0_g1_i1	KPRS_XYLFA	86.4	59	8	0	3	179	264	322	2.21e-25	99.0
TRINITY_DN170597_c0_g1_i1	DHI1L_DANRE	50.0	80	34	3	241	5	96	170	1.67e-09	55.5
TRINITY_DN181352_c0_g1_i1	RPOC_CERS1	86.0	86	12	0	2	259	859	944	3.30e-42	149
TRINITY_DN181358_c0_g1_i1	MPPD1_HUMAN	49.1	269	110	4	895	101	78	323	2.16e-79	253
TRINITY_DN181380_c0_g1_i1	FABY_ECO57	100	179	0	0	632	96	151	329	2.78e-131	375
TRINITY_DN181323_c0_g1_i1	SIAE_HUMAN	43.2	403	206	11	1	1188	121	507	1.23e-112	343
TRINITY_DN181369_c0_g1_i1	RSMG_ECO27	99.5	207	1	0	355	975	1	207	1.76e-145	413
TRINITY_DN181349_c0_g1_i1	SGCC_ECOLI	100	132	0	0	30	425	1	132	1.59e-82	251
TRINITY_DN181326_c0_g1_i1	HLDD_ECO24	100	198	0	0	712	119	113	310	1.42e-143	406
TRINITY_DN167763_c0_g1_i1	LIN1_NYCCO	31.6	95	62	2	465	184	650	742	1.34e-06	50.4
TRINITY_DN167740_c0_g1_i1	GP161_DANRE	33.6	116	70	1	353	6	6	114	3.92e-13	68.2
TRINITY_DN130964_c0_g1_i1	GLRK_LYMST	51.8	114	54	1	3	341	156	269	4.60e-31	118
TRINITY_DN130961_c0_g1_i1	ST1B1_BOVIN	29.5	112	63	3	316	29	5	116	5.99e-08	53.1
TRINITY_DN130931_c0_g1_i1	CLSPN_HUMAN	39.7	126	69	4	477	109	1053	1174	6.68e-20	89.0
TRINITY_DN130913_c0_g1_i1	SC5A7_DROME	33.3	147	80	3	6	401	443	586	9.52e-18	82.8
TRINITY_DN133033_c0_g1_i1	CLPB_XANAC	97.2	71	2	0	215	3	343	413	1.68e-37	134
TRINITY_DN133025_c0_g1_i1	AT8B5_MOUSE	60.7	28	11	0	237	154	248	275	4.19e-06	46.2
TRINITY_DN133042_c0_g1_i1	Y531_METJA	44.3	61	34	0	191	9	105	165	2.51e-10	55.8
TRINITY_DN133009_c0_g1_i1	YIGE_ECOLI	100	101	0	0	304	2	1	101	2.69e-66	202
TRINITY_DN133089_c0_g1_i1	MAEB_HALED	55.2	67	30	0	201	1	236	302	8.74e-21	86.7
TRINITY_DN133003_c0_g1_i1	RLUD_RALN1	35.4	82	51	2	15	257	168	248	5.51e-06	45.8
TRINITY_DN196187_c0_g1_i1	TRPE_PSESS	71.4	63	18	0	194	6	354	416	2.17e-21	88.6
TRINITY_DN196139_c0_g1_i1	KDSB_RHOCS	62.9	132	48	1	3	398	41	171	1.91e-44	148
TRINITY_DN196182_c0_g1_i1	MFD6A_DANRE	58.8	80	33	0	242	3	468	547	4.54e-27	105
TRINITY_DN196190_c0_g1_i1	Y2102_LEIXX	38.5	91	54	2	51	320	41	130	4.62e-10	56.6
TRINITY_DN196191_c0_g1_i1	TPM1_SCHMA	76.4	55	13	0	59	223	121	175	1.92e-17	76.6
TRINITY_DN139218_c0_g1_i1	MED7_DANRE	67.8	87	28	0	263	3	1	87	1.37e-38	132
TRINITY_DN139234_c0_g1_i1	PHAC_AZOC5	57.9	114	47	1	3	344	391	503	9.27e-39	139
TRINITY_DN139255_c0_g1_i1	MTND_BRAFL	61.9	176	64	2	1703	1176	1	173	4.05e-75	239
TRINITY_DN139206_c0_g1_i1	Y4158_STRCO	55.6	54	23	1	61	219	8	61	1.75e-06	46.6
TRINITY_DN139223_c0_g1_i1	OCTB2_CHISP	28.8	316	198	5	1337	459	44	355	3.78e-27	116
TRINITY_DN139300_c0_g1_i1	BVGS_BORBR	59.4	69	27	1	209	6	544	612	5.81e-20	84.7
TRINITY_DN139244_c0_g1_i1	DMOA_HYPSL	50.6	81	38	1	260	24	373	453	1.05e-19	84.7
TRINITY_DN139235_c0_g1_i1	YHHJ_ECOLI	58.9	73	30	0	16	234	157	229	1.03e-22	92.0
TRINITY_DN139264_c0_g1_i1	C163B_HUMAN	34.4	122	70	4	3	359	510	624	1.14e-16	77.8
TRINITY_DN139215_c0_g1_i1	AL7A1_BOVIN	71.0	511	148	0	456	1988	29	539	7.56e-272	777
TRINITY_DN139222_c0_g1_i1	HS3S5_MOUSE	51.9	258	123	1	1041	271	88	345	8.27e-88	275
TRINITY_DN139222_c0_g1_i2	HS3S5_MOUSE	51.9	258	123	1	1041	271	88	345	8.27e-88	275
TRINITY_DN139285_c0_g1_i1	KCNAS_DROME	42.6	474	193	6	440	1825	88	494	5.61e-101	331
